playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"206","null","Andre Caldwell","WR","DET","WR","DET","null","0","null","null","null","152","null","null","0","null","null","null","0","0","null","null",
"230","null","Jerome Felton","RB","BUF","RB","BUF","null","0.25","null","null","null","98","null","null","0","null","null","null","0.25","0.25","5.7712","null",
"234","null","Matt Forte","RB","NYJ","RB","NYJ","null","13.39","null","null","null","8","null","null","0.535","null","null","null","13.39","13.39","null","null",
"252","null","Chad Henne","QB","JAC","QB","JAC","null","0.024","null","null","null","53","null","null","0.004","null","null","null","0.024","0.024","null","null",
"264","null","Josh Johnson","QB","NYG","QB","NYG","null","0","null","null","null","60","null","null","0","null","null","null","0","0","null","null",
"310","null","Matt Ryan","QB","ATL","QB","ATL","null","17.15","null","null","null","12","null","null","0.295","null","null","null","17.15","17.15","4.025","null",
"318","null","Jerome Simpson","WR","FA","WR","FA","null","0","null","null","null","152","null","null","0","null","null","null","0","0","null","null",
"382","null","Joe Flacco","QB","BAL","QB","BAL","null","16.26","null","null","null","16","null","null","0.37","null","null","null","16.26","16.26","4.7798","null",
"927","null","Justin Forsett","RB","DET","RB","DET","null","0.97","null","null","null","79","null","null","0.245","null","null","null","0.97","0.97","null","null",
"949","null","Jonathan Stewart","RB","CAR","RB","CAR","null","8.55","null","null","null","31","null","null","0.125","null","null","null","8.55","8.55","null","null",
"1032","null","Jordy Nelson","WR","GB","WR","GB","null","11.69","null","null","null","14","null","null","0.17","null","null","null","11.69","11.69","2.5615","null",
"1062","null","Martellus Bennett","TE","NE","TE","NE","null","5.84","null","null","null","20","null","null","0.12","null","null","null","5.84","5.84","null","null",
"1581","null","DeSean Jackson","WR","WAS","WR","WAS","null","7.44","null","null","null","50","null","null","0.08","null","null","null","7.44","7.44","null","null",
"1990","null","Eddie Royal","WR","CHI","WR","CHI","null","7.52","null","null","null","48","null","null","0.06","null","null","null","7.52","7.52","null","null",
"2346","null","Pierre Garcon","WR","WAS","WR","WAS","null","7.35","null","null","null","52","null","null","0.245","null","null","null","7.35","7.35","4.6107","null",
"2649","null","Danny Amendola","WR","NE","WR","NE","null","3.85","null","null","null","96","null","null","0.08","null","null","null","3.85","3.85","7.6846","null",
"4383","null","Tim Hightower","RB","NO","RB","NO","null","8.57","null","null","null","30","null","null","0.035","null","null","null","8.57","8.57","5.202","null",
"4433","null","Marcel Reece","RB","FA","RB","FA","null","0","null","null","null","115","null","null","0","null","null","null","0","0","null","null",
"4487","null","Matthew Slater","WR","NE","WR","NE","null","0","null","null","null","152","null","null","0","null","null","null","0","0","null","null",
"71217","null","Kenny Britt","WR","LA","WR","LA","null","8.77","null","null","null","35","null","null","0.03","null","null","null","8.77","8.77","5.4546","null",
"71255","null","Chase Coffman","TE","IND","TE","IND","null","0","null","null","null","84","null","null","0","null","null","null","0","0","null","null",
"71265","null","Jared Cook","TE","GB","TE","GB","null","5.98","null","null","null","17","null","null","0.07","null","null","null","5.98","5.98","4.4493","null",
"71269","null","Michael Crabtree","WR","OAK","WR","OAK","null","11.52","null","null","null","15","null","null","0.14","null","null","null","11.52","11.52","null","null",
"71309","null","Graham Gano","K","CAR","K","CAR","null","1.3","null","null","null","28","null","null","0.75","null","null","null","1.3","1.3","3.5409","null",
"71345","null","Rashad Jennings","RB","NYG","RB","NYG","null","11.66","null","null","null","17","null","null","0.285","null","null","null","11.66","11.66","4.2535","null",
"71417","null","Jordan Norwood","WR","DEN","WR","DEN","null","3.12","null","null","null","105","null","null","0.05","null","null","null","3.12","3.12","3.8272","null",
"71435","null","John Phillips","TE","NO","TE","NO","null","1.06","null","null","null","58","null","null","0.155","null","null","null","1.06","1.06","null","null",
"79589","null","David Johnson","TE","PIT","TE","PIT","null","0.32","null","null","null","71","null","null","0.005","null","null","null","0.32","0.32","null","null",
"79607","null","LeSean McCoy","RB","BUF","RB","BUF","null","14.13","null","null","null","6","null","null","0.505","null","null","null","14.13","14.13","2.1666","null",
"79858","null","Mark Sanchez","QB","DAL","QB","DAL","null","0","null","null","null","60","null","null","0","null","null","null","0","0","null","null",
"79860","null","Matthew Stafford","QB","DET","QB","DET","null","19.4","null","null","null","3","null","null","0.185","null","null","null","19.4","19.4","5.1573","null",
"80425","null","Percy Harvin","WR","BUF","WR","BUF","null","2","null","null","null","117","null","null","0.39","null","null","null","2","2","null","null",
"80427","null","Darrius Heyward-Bey","WR","PIT","WR","PIT","null","3.68","null","null","null","99","null","null","0.18","null","null","null","3.68","3.68","null","null",
"80429","null","Jeremy Maclin","WR","KC","WR","KC","null","10.88","null","null","null","20","null","null","0.125","null","null","null","10.88","10.88","null","null",
"81284","null","Chase Daniel","QB","PHI","QB","PHI","null","0.034","null","null","null","51","null","null","0.008","null","null","null","0.034","0.034","null","null",
"81306","null","Brandon Tate","WR","BUF","WR","BUF","null","0.61","null","null","null","126","null","null","0.025","null","null","null","0.61","0.61","4.7916","null",
"89766","null","Brandon Myers","TE","TB","TE","TB","null","0.43","null","null","null","66","null","null","0.015","null","null","null","0.43","0.43","null","null",
"100001","null","Falcons","DST","ATL","DST","ATL","null","6.5","null","null","null","17","null","null","0.05","null","null","null","6.5","6.5","3.9049","null",
"100002","null","Ravens","DST","BAL","DST","BAL","null","7.4","null","null","null","9","null","null","0.05","null","null","null","7.4","7.4","3.1076","null",
"100003","null","Bills","DST","BUF","DST","BUF","null","5.4","null","null","null","27","null","null","0.7","null","null","null","5.4","5.4","5.7652","null",
"100004","null","Panthers","DST","CAR","DST","CAR","null","7.3","null","null","null","11","null","null","0.05","null","null","null","7.3","7.3","7.2268","null",
"100005","null","Bears","DST","CHI","DST","CHI","null","6.5","null","null","null","17","null","null","0.15","null","null","null","6.5","6.5","7.2268","null",
"100006","null","Bengals","DST","CIN","DST","CIN","null","6.1","null","null","null","23","null","null","0.05","null","null","null","6.1","6.1","4.9679","null",
"100008","null","Cowboys","DST","DAL","DST","DAL","null","7.2","null","null","null","14","null","null","0.35","null","null","null","7.2","7.2","4.5693","null",
"100009","null","Broncos","DST","DEN","DST","DEN","null","10.2","null","null","null","1","null","null","1.65","null","null","null","10.2","10.2","-0.0814","null",
"100010","null","Lions","DST","DET","DST","DET","null","4.5","null","null","null","29","null","null","null","null","null","null","4.5","4.5","3.772","null",
"100011","null","Packers","DST","GB","DST","GB","null","7.3","null","null","null","11","null","null","0.1","null","null","null","7.3","7.3","4.4364","null",
"100013","null","Texans","DST","HOU","DST","HOU","null","6","null","null","null","25","null","null","0.4","null","null","null","6","6","4.835","null",
"100014","null","Colts","DST","IND","DST","IND","null","6.3","null","null","null","20","null","null","0.05","null","null","null","6.3","6.3","6.8282","null",
"100015","null","Jaguars","DST","JAC","DST","JAC","null","7.1","null","null","null","15","null","null","0.55","null","null","null","7.1","7.1","8.0241","null",
"100016","null","Chiefs","DST","KC","DST","KC","null","7.2","null","null","null","13","null","null","0.05","null","null","null","7.2","7.2","5.7652","null",
"100018","null","Raiders","DST","OAK","DST","OAK","null","6.2","null","null","null","22","null","null","0.1","null","null","null","6.2","6.2","3.9049","null",
"100019","null","Dolphins","DST","MIA","DST","MIA","null","6.3","null","null","null","20","null","null","0.15","null","null","null","6.3","6.3","3.772","null",
"100020","null","Vikings","DST","MIN","DST","MIN","null","5.8","null","null","null","26","null","null","0.65","null","null","null","5.8","5.8","5.3666","null",
"100021","null","Patriots","DST","NE","DST","NE","null","7.6","null","null","null","8","null","null","0.2","null","null","null","7.6","7.6","2.1775","null",
"100022","null","Saints","DST","NO","DST","NO","null","6.1","null","null","null","23","null","null","0.2","null","null","null","6.1","6.1","6.9611","null",
"100023","null","Giants","DST","NYG","DST","NYG","null","4.9","null","null","null","28","null","null","0.4","null","null","null","4.9","4.9","5.8981","null",
"100024","null","Jets","DST","NYJ","DST","NYJ","null","8.2","null","null","null","4","null","null","0.4","null","null","null","8.2","8.2","8.8214","null",
"100025","null","Eagles","DST","PHI","DST","PHI","null","7.7","null","null","null","7","null","null","0.2","null","null","null","7.7","7.7","3.2405","null",
"100026","null","Cardinals","DST","ARI","DST","ARI","null","7.8","null","null","null","5","null","null","0.05","null","null","null","7.8","7.8","4.3035","null",
"100027","null","Steelers","DST","PIT","DST","PIT","null","7.4","null","null","null","9","null","null","0.1","null","null","null","7.4","7.4","4.7022","null",
"100028","null","Chargers","DST","SD","DST","SD","null","6.6","null","null","null","16","null","null","0.1","null","null","null","6.6","6.6","4.1707","null",
"100029","null","49ers","DST","SF","DST","SF","null","6.4","null","null","null","19","null","null","0.1","null","null","null","6.4","6.4","5.6323","null",
"100030","null","Seahawks","DST","SEA","DST","SEA","null","8.3","null","null","null","3","null","null","0.3","null","null","null","8.3","8.3","1.5131","null",
"100031","null","Buccaneers","DST","TB","DST","TB","null","8.8","null","null","null","2","null","null","0.55","null","null","null","8.8","8.8","7.2268","null",
"100032","null","Redskins","DST","WAS","DST","WAS","null","7.8","null","null","null","5","null","null","0.15","null","null","null","7.8","7.8","6.9611","null",
"238498","null","Julian Edelman","WR","NE","WR","NE","null","11.24","null","null","null","17","null","null","0.12","null","null","null","11.24","11.24","null","null",
"497095","null","Sam Bradford","QB","MIN","QB","MIN","null","12.23","null","null","null","29","null","null","6.741","null","null","null","12.23","12.23","null","null",
"497123","null","Colt McCoy","QB","WAS","QB","WAS","null","0.128","null","null","null","37","null","null","0.008","null","null","null","0.128","0.128","null","null",
"497145","null","Joique Bell","RB","FA","RB","FA","null","0","null","null","null","115","null","null","0","null","null","null","0","0","null","null",
"497149","null","LeGarrette Blount","RB","NE","RB","NE","null","11.99","null","null","null","15","null","null","0.24","null","null","null","11.99","11.99","4.2535","null",
"497204","null","C.J. Spiller","RB","NYJ","RB","NYJ","null","0.48","null","null","null","83","null","null","0.055","null","null","null","0.48","0.48","10.9882","null",
"497206","null","James Starks","RB","GB","RB","GB","null","10.13","null","null","null","24","null","null","0.26","null","null","null","10.13","10.13","4.538","null",
"497224","null","Ed Dickson","TE","CAR","TE","CAR","null","2.79","null","null","null","49","null","null","0.19","null","null","null","2.79","2.79","4.248","null",
"497226","null","Jim Dray","TE","FA","TE","FA","null","0","null","null","null","84","null","null","0","null","null","null","0","0","null","null",
"497236","null","Jimmy Graham","TE","SEA","TE","SEA","null","11.72","null","null","null","1","null","null","1.665","null","null","null","11.72","11.72","null","null",
"497238","null","Jermaine Gresham","TE","ARI","TE","ARI","null","5.38","null","null","null","24","null","null","0.11","null","null","null","5.38","5.38","null","null",
"497240","null","Rob Gronkowski","TE","NE","TE","NE","null","7.35","null","null","null","10","null","null","0.2","null","null","null","7.35","7.35","null","null",
"497242","null","Clay Harbor","TE","DET","TE","DET","null","0.84","null","null","null","61","null","null","0.075","null","null","null","0.84","0.84","null","null",
"497254","null","Dennis Pitta","TE","BAL","TE","BAL","null","5.89","null","null","null","19","null","null","0.06","null","null","null","5.89","5.89","3.0401","null",
"497256","null","Tony Moeaki","TE","FA","TE","FA","null","0","null","null","null","84","null","null","0","null","null","null","0","0","null","null",
"497258","null","Andrew Quarless","TE","FA","TE","FA","null","0.87","null","null","null","60","null","null","0.06","null","null","null","0.87","0.87","null","null",
"497270","null","Arrelious Benn","WR","JAC","WR","JAC","null","2.03","null","null","null","116","null","null","0.095","null","null","null","2.03","2.03","8.1668","null",
"497278","null","Dez Bryant","WR","DAL","WR","DAL","null","10.71","null","null","null","22","null","null","0.35","null","null","null","10.71","10.71","3.7669","null",
"497282","null","Riley Cooper","WR","FA","WR","FA","null","0","null","null","null","152","null","null","0","null","null","null","0","0","null","null",
"497302","null","Brandon LaFell","WR","CIN","WR","CIN","null","6.72","null","null","null","56","null","null","0.12","null","null","null","6.72","6.72","null","null",
"497320","null","Andre Roberts","WR","DET","WR","DET","null","3.29","null","null","null","103","null","null","0.165","null","null","null","3.29","3.29","6.66","null",
"497322","null","Emmanuel Sanders","WR","DEN","WR","DEN","null","12.26","null","null","null","9","null","null","0.2","null","null","null","12.26","12.26","null","null",
"497326","null","Golden Tate","WR","DET","WR","DET","null","10.8","null","null","null","21","null","null","0.125","null","null","null","10.8","10.8","3.1642","null",
"497328","null","Demaryius Thomas","WR","DEN","WR","DEN","null","12.15","null","null","null","10","null","null","0.19","null","null","null","12.15","12.15","4.671","null",
"1037347","null","Joe Webb","QB","CAR","QB","CAR","null","0","null","null","null","60","null","null","0","null","null","null","0","0","null","null",
"2495139","null","Charles Clay","TE","BUF","TE","BUF","null","5.62","null","null","null","22","null","null","0.17","null","null","null","5.62","5.62","null","null",
"2495143","null","Andy Dalton","QB","CIN","QB","CIN","null","15.51","null","null","null","19","null","null","0.34","null","null","null","15.51","15.51","5.9121","null",
"2495150","null","Kai Forbath","K","MIN","K","MIN","null","1.7","null","null","null","21","null","null","0.1","null","null","null","1.7","1.7","6.1767","null",
"2495159","null","Dwayne Harris","WR","NYG","WR","NYG","null","0.37","null","null","null","136","null","null","0.005","null","null","null","0.37","0.37","null","null",
"2495181","null","Jerrod Johnson","QB","DAL","QB","DAL","null","0","null","null","null","60","null","null","0","null","null","null","0","0","null","null",
"2495186","null","Colin Kaepernick","QB","SF","QB","SF","null","18.75","null","null","null","7","null","null","0.73","null","null","null","18.75","18.75","7.4218","null",
"2495187","null","Lance Kendricks","TE","LA","TE","LA","null","5.82","null","null","null","21","null","null","0.25","null","null","null","5.82","5.82","3.1408","null",
"2495189","null","Jeremy Kerley","WR","SF","WR","SF","null","6.08","null","null","null","65","null","null","0.115","null","null","null","6.08","6.08","4.5505","null",
"2495215","null","Christian Ponder","QB","SF","QB","SF","null","0","null","null","null","60","null","null","0","null","null","null","0","0","null","null",
"2495234","null","Luke Stocker","TE","TB","TE","TB","null","0.31","null","null","null","73","null","null","0.005","null","null","null","0.31","0.31","10.7909","null",
"2495240","null","Tyrod Taylor","QB","BUF","QB","BUF","null","17.95","null","null","null","10","null","null","0.575","null","null","null","17.95","17.95","4.7798","null",
"2495258","null","Matt Asiata","RB","MIN","RB","MIN","null","8.07","null","null","null","35","null","null","0.445","null","null","null","8.07","8.07","3.874","null",
"2495259","null","Dan Bailey","K","DAL","K","DAL","null","2.2","null","null","null","9","null","null","0.1","null","null","null","2.2","2.2","4.5293","null",
"2495288","null","Virgil Green","TE","DEN","TE","DEN","null","4.78","null","null","null","28","null","null","0.16","null","null","null","4.78","4.78","4.4493","null",
"2495314","null","Bruce Miller","RB","FA","RB","FA","null","0","null","null","null","115","null","null","0","null","null","null","0","0","null","null",
"2495328","null","Bilal Powell","RB","NYJ","RB","NYJ","null","8.52","null","null","null","32","null","null","0.265","null","null","null","8.52","8.52","3.5895","null",
"2495331","null","Aldrick Robinson","WR","ATL","WR","ATL","null","0.31","null","null","null","143","null","null","0.04","null","null","null","0.31","0.31","2.4409","null",
"2495340","null","Anthony Sherman","RB","KC","RB","KC","null","0.2","null","null","null","107","null","null","0.02","null","null","null","0.2","0.2","null","null",
"2495341","null","Cecil Shorts","WR","TB","WR","TB","null","5.49","null","null","null","72","null","null","0.145","null","null","null","5.49","5.49","3.9477","null",
"2495353","null","Julius Thomas","TE","JAC","TE","JAC","null","5.21","null","null","null","26","null","null","0.32","null","null","null","5.21","5.21","null","null",
"2495425","null","Scott Tolzien","QB","IND","QB","IND","null","0.056","null","null","null","46","null","null","0.008","null","null","null","0.056","0.056","null","null",
"2495438","null","Kyle Rudolph","TE","MIN","TE","MIN","null","6.64","null","null","null","15","null","null","0.625","null","null","null","6.64","6.64","2.6375","null",
"2495441","null","Blaine Gabbert","QB","SF","QB","SF","null","0.21","null","null","null","33","null","null","0.04","null","null","null","0.21","0.21","null","null",
"2495443","null","Ryan Mallett","QB","BAL","QB","BAL","null","0.068","null","null","null","42","null","null","0.006","null","null","null","0.068","0.068","null","null",
"2495448","null","Randall Cobb","WR","GB","WR","GB","null","9.78","null","null","null","28","null","null","0.155","null","null","null","9.78","9.78","4.3697","null",
"2495453","null","Andre Holmes","WR","OAK","WR","OAK","null","3.99","null","null","null","93","null","null","0.07","null","null","null","3.99","3.99","4.4902","null",
"2495454","null","Julio Jones","WR","ATL","WR","ATL","null","14.83","null","null","null","3","null","null","0.535","null","null","null","14.83","14.83","1.5971","null",
"2495455","null","Cam Newton","QB","CAR","QB","CAR","null","14.04","null","null","null","25","null","null","0.18","null","null","null","14.04","14.04","5.5347","null",
"2495459","null","Torrey Smith","WR","SF","WR","SF","null","5.99","null","null","null","66","null","null","0.065","null","null","null","5.99","5.99","null","null",
"2495461","null","Shaun Draughn","RB","SF","RB","SF","null","4.3","null","null","null","55","null","null","0.24","null","null","null","4.3","4.3","4.1586","null",
"2495466","null","Mark Ingram","RB","NO","RB","NO","null","12.97","null","null","null","9","null","null","0.365","null","null","null","12.97","12.97","null","null",
"2495467","null","Taiwan Jones","RB","OAK","RB","OAK","null","0.19","null","null","null","108","null","null","0.03","null","null","null","0.19","0.19","3.874","null",
"2495469","null","Dion Lewis","RB","NE","RB","NE","null","7.29","null","null","null","37","null","null","0.315","null","null","null","7.29","7.29","3.1152","null",
"2495470","null","Stevan Ridley","RB","FA","RB","FA","null","0","null","null","null","115","null","null","0","null","null","null","0","0","null","null",
"2495471","null","Jacquizz Rodgers","RB","TB","RB","TB","null","4.35","null","null","null","54","null","null","0.125","null","null","null","4.35","4.35","null","null",
"2495472","null","Jordan Todman","RB","IND","RB","IND","null","0.22","null","null","null","104","null","null","0.01","null","null","null","0.22","0.22","3.874","null",
"2495700","null","Greg Olsen","TE","CAR","TE","CAR","null","9.12","null","null","null","5","null","null","0.29","null","null","null","9.12","9.12","2.0335","null",
"2495748","null","Drew Stanton","QB","ARI","QB","ARI","null","0.072","null","null","null","40","null","null","0.002","null","null","null","0.072","0.072","null","null",
"2495826","null","Vernon Davis","TE","WAS","TE","WAS","null","7.1","null","null","null","12","null","null","0.305","null","null","null","7.1","7.1","4.9526","null",
"2495893","null","Brandon Marshall","WR","NYJ","WR","NYJ","null","11.97","null","null","null","11","null","null","0.115","null","null","null","11.97","11.97","null","null",
"2500351","null","Phil Dawson","K","SF","K","SF","null","2","null","null","null","14","null","null","0.05","null","null","null","2","2","6.1767","null",
"2503471","null","Adam Vinatieri","K","IND","K","IND","null","1.9","null","null","null","16","null","null","0.1","null","null","null","1.9","1.9","3.5409","null",
"2504162","null","Shayne Graham","K","FA","K","FA","null","0","null","null","null","30","null","null","0","null","null","null","0","0","null","null",
"2504211","null","Tom Brady","QB","NE","QB","NE","null","19.21","null","null","null","5","null","null","0.45","null","null","null","19.21","19.21","null","null",
"2504257","null","Sebastian Janikowski","K","OAK","K","OAK","null","2.2","null","null","null","7","null","null","0","null","null","null","2.2","2.2","5.1883","null",
"2504595","null","Steve Smith","WR","BAL","WR","BAL","null","10.08","null","null","null","24","null","null","0.135","null","null","null","10.08","10.08","4.1286","null",
"2504775","null","Drew Brees","QB","NO","QB","NO","null","21.12","null","null","null","1","null","null","1.365","null","null","null","21.12","21.12","-2.3913","null",
"2504797","null","Matt Bryant","K","ATL","K","ATL","null","2.3","null","null","null","6","null","null","0.1","null","null","null","2.3","2.3","3.2114","null",
"2504833","null","Shaun Hill","QB","MIN","QB","MIN","null","0.154","null","null","null","36","null","null","0.027","null","null","null","0.154","0.154","null","null",
"2505245","null","Carson Palmer","QB","ARI","QB","ARI","null","18.07","null","null","null","8","null","null","0.11","null","null","null","18.07","18.07","null","null",
"2505299","null","Antonio Gates","TE","SD","TE","SD","null","9.16","null","null","null","4","null","null","0.04","null","null","null","9.16","9.16","4.6507","null",
"2505354","null","Tony Romo","QB","DAL","QB","DAL","null","0.848","null","null","null","31","null","null","0.342","null","null","null","0.848","0.848","null","null",
"2505587","null","Anquan Boldin","WR","DET","WR","DET","null","7.84","null","null","null","45","null","null","0.22","null","null","null","7.84","7.84","5.3943","null",
"2505629","null","Jason Witten","TE","DAL","TE","DAL","null","6.05","null","null","null","16","null","null","0.095","null","null","null","6.05","6.05","2.9394","null",
"2505982","null","Matt Schaub","QB","ATL","QB","ATL","null","0.036","null","null","null","50","null","null","0.005","null","null","null","0.036","0.036","null","null",
"2505996","null","Eli Manning","QB","NYG","QB","NYG","null","14.49","null","null","null","22","null","null","0.24","null","null","null","14.49","14.49","7.7993","null",
"2506053","null","Luke McCown","QB","NO","QB","NO","null","0.044","null","null","null","48","null","null","0.006","null","null","null","0.044","0.044","null","null",
"2506106","null","Larry Fitzgerald","WR","ARI","WR","ARI","null","13.87","null","null","null","5","null","null","0.805","null","null","null","13.87","13.87","null","null",
"2506109","null","Ben Roethlisberger","QB","PIT","QB","PIT","null","17.97","null","null","null","9","null","null","0.195","null","null","null","17.97","17.97","2.8927","null",
"2506121","null","Philip Rivers","QB","SD","QB","SD","null","19.22","null","null","null","4","null","null","0.23","null","null","null","19.22","19.22","4.4024","null",
"2506147","null","John Kuhn","RB","NO","RB","NO","null","3.85","null","null","null","59","null","null","0.29","null","null","null","3.85","3.85","7.194","null",
"2506194","null","Nick Novak","K","HOU","K","HOU","null","1.4","null","null","null","26","null","null","0.05","null","null","null","1.4","1.4","4.5293","null",
"2506264","null","Robbie Gould","K","NYG","K","NYG","null","1.5","null","null","null","23","null","null","0","null","null","null","1.5","1.5","7.8241","null",
"2506340","null","Alex Smith","QB","KC","QB","KC","null","16.57","null","null","null","14","null","null","0.25","null","null","null","16.57","16.57","6.667","null",
"2506363","null","Aaron Rodgers","QB","GB","QB","GB","null","20.11","null","null","null","2","null","null","0.8","null","null","null","20.11","20.11","null","null",
"2506386","null","Mike Nugent","K","CIN","K","CIN","null","1.5","null","null","null","23","null","null","0.05","null","null","null","1.5","1.5","3.2114","null",
"2506404","null","Frank Gore","RB","IND","RB","IND","null","9.67","null","null","null","26","null","null","0.045","null","null","null","9.67","9.67","2.8306","null",
"2506467","null","Darren Sproles","RB","PHI","RB","PHI","null","10.07","null","null","null","25","null","null","0.405","null","null","null","10.07","10.07","5.1072","null",
"2506481","null","Dan Orlovsky","QB","DET","QB","DET","null","0.028","null","null","null","52","null","null","0.006","null","null","null","0.028","0.028","null","null",
"2506546","null","Derek Anderson","QB","CAR","QB","CAR","null","0.072","null","null","null","40","null","null","0.007","null","null","null","0.072","0.072","null","null",
"2506581","null","Ryan Fitzpatrick","QB","NYJ","QB","NYJ","null","15.63","null","null","null","18","null","null","0.27","null","null","null","15.63","15.63","null","null",
"2506677","null","Matt Prater","K","DET","K","DET","null","2.1","null","null","null","10","null","null","0","null","null","null","2.1","2.1","3.2114","null",
"2506874","null","Reggie Bush","RB","BUF","RB","BUF","null","0.4","null","null","null","87","null","null","0.055","null","null","null","0.4","0.4","8.7117","null",
"2506895","null","Kellen Clemens","QB","SD","QB","SD","null","0.012","null","null","null","57","null","null","0.004","null","null","null","0.012","0.012","null","null",
"2506897","null","Devin Hester","WR","BAL","WR","BAL","null","0","null","null","null","152","null","null","0","null","null","null","0","0","null","null",
"2506922","null","Stephen Gostkowski","K","NE","K","NE","null","2.4","null","null","null","1","null","null","0","null","null","null","2.4","2.4","8.4831","null",
"2507029","null","Eric Weems","WR","ATL","WR","ATL","null","0.1","null","null","null","151","null","null","0.1","null","null","null","0.1","0.1","null","null",
"2507166","null","Ted Ginn","WR","CAR","WR","CAR","null","3.13","null","null","null","104","null","null","0.03","null","null","null","3.13","3.13","null","null",
"2507183","null","James Jones","WR","FA","WR","FA","null","0","null","null","null","152","null","null","0","null","null","null","0","0","null","null",
"2507218","null","Brent Celek","TE","PHI","TE","PHI","null","0.65","null","null","null","64","null","null","0.145","null","null","null","0.65","0.65","8.3751","null",
"2507225","null","Nick Folk","K","NYJ","K","NYJ","null","2.2","null","null","null","7","null","null","0.05","null","null","null","2.2","2.2","7.1652","null",
"2507232","null","Mason Crosby","K","GB","K","GB","null","2.4","null","null","null","3","null","null","0.1","null","null","null","2.4","2.4","2.5524","null",
"2507282","null","Matt Moore","QB","MIA","QB","MIA","null","0.008","null","null","null","58","null","null","0.004","null","null","null","0.008","0.008","null","null",
"2507374","null","Steven Hauschka","K","SEA","K","SEA","null","2.1","null","null","null","10","null","null","0","null","null","null","2.1","2.1","null","null",
"2507401","null","Dan Carpenter","K","BUF","K","BUF","null","1.8","null","null","null","17","null","null","2.2204e-16","null","null","null","1.8","1.8","2.2229","null",
"2507428","null","Mike Tolbert","RB","CAR","RB","CAR","null","1.58","null","null","null","74","null","null","0.045","null","null","null","1.58","1.58","7.5734","null",
"2507463","null","Connor Barth","K","CHI","K","CHI","null","1.8","null","null","null","18","null","null","0.05","null","null","null","1.8","1.8","8.1536","null",
"2507763","null","Mike Wallace","WR","BAL","WR","BAL","null","7.87","null","null","null","44","null","null","0.13","null","null","null","7.87","7.87","4.6107","null",
"2507828","null","Logan Paulsen","TE","CHI","TE","CHI","null","3.46","null","null","null","42","null","null","0.145","null","null","null","3.46","3.46","9.583","null",
"2507855","null","Victor Cruz","WR","NYG","WR","NYG","null","6.36","null","null","null","60","null","null","0.09","null","null","null","6.36","6.36","4.9121","null",
"2507999","null","Chris Ivory","RB","JAC","RB","JAC","null","6.9","null","null","null","39","null","null","0.77","null","null","null","6.9","6.9","null","null",
"2508061","null","Antonio Brown","WR","PIT","WR","PIT","null","17.54","null","null","null","1","null","null","2.1","null","null","null","17.54","17.54","1.2958","null",
"2508101","null","James Develin","RB","NE","RB","NE","null","0.21","null","null","null","105","null","null","0.005","null","null","null","0.21","0.21","null","null",
"2508112","null","Rob Housler","TE","FA","TE","FA","null","0","null","null","null","84","null","null","0","null","null","null","0","0","null","null",
"2508115","null","Vincent Brown","WR","FA","WR","FA","null","0","null","null","null","152","null","null","0","null","null","null","0","0","null","null",
"2528181","null","Bryan Walters","WR","JAC","WR","JAC","null","0.33","null","null","null","140","null","null","0.01","null","null","null","0.33","0.33","7.0819","null",
"2530515","null","Chris Hogan","WR","NE","WR","NE","null","6.25","null","null","null","62","null","null","0.095","null","null","null","6.25","6.25","null","null",
"2530598","null","Jeremy Ross","WR","NYJ","WR","NYJ","null","0","null","null","null","152","null","null","0","null","null","null","0","0","null","null",
"2530660","null","Kamar Aiken","WR","BAL","WR","BAL","null","4.03","null","null","null","91","null","null","0.025","null","null","null","4.03","4.03","null","null",
"2530690","null","DuJuan Harris","RB","SF","RB","SF","null","3.47","null","null","null","61","null","null","0.155","null","null","null","3.47","3.47","4.4432","null",
