Start Date,Sport,Id,Title,Entry Id,Status,Entry Fee,Winnings,Points,Rank,Entry Count,Entry Limit
9/17/2015,NFL,91029,weresvde beef are you ready 20001,7139681,resolved,$0.00,$0.00,108.02,7,20,20
9/27/2015,NFL,101470,NFL Million Dollar Baller,7598485,resolved,$10.00,$0.00,135.40,33363,77787,113636
9/27/2015,NFL,101474,NFL $150K Tournament [$15K to 1st],7598706,resolved,$25.00,$0.00,135.40,2368,5350,6818
11/26/2015,NFL,267233,NFL $20K Fantasy Feast [Free Entry] (Thu Only),10723941,resolved,$0.00,$1.00,127.78,10238,137296,200000
11/26/2015,NFL,267305,NFL $5K Tournament [Single Entry],10723625,resolved,$1.00,$2.00,125.90,927,5681,5681
9/11/2016,NFL,1361010,Yahoo Cup Week 1 [$10K Freeroll],19135130,resolved,$0.00,$0.00,150.20,14643,276795,1000000
9/18/2016,NFL,1389711,Yahoo Cup Week 2 [$1K Freeroll],19675332,resolved,$0.00,$0.00,103.00,75686,317491,1000000
9/18/2016,NFL,1387513,NFL $250K Baller [$25K to 1st],20093381,resolved,$10.00,$0.00,103.00,12585,22820,28410
9/18/2016,NFL,1387513,NFL $250K Baller [$25K to 1st],20094282,resolved,$10.00,$25.00,134.72,1368,22820,28410
9/25/2016,NFL,1403344,NFL $25K Tournament [$2.5K to 1st],20648069,resolved,$1.00,$0.00,113.30,11529,28410,28410
9/25/2016,NFL,1403344,NFL $25K Tournament [$2.5K to 1st],20648084,resolved,$1.00,$0.00,121.00,8246,28410,28410
9/25/2016,NFL,1403344,NFL $25K Tournament [$2.5K to 1st],20648101,resolved,$1.00,$0.00,116.80,9985,28410,28410
9/25/2016,NFL,1403344,NFL $25K Tournament [$2.5K to 1st],20648115,resolved,$1.00,$0.00,114.04,11208,28410,28410
9/25/2016,NFL,1403344,NFL $25K Tournament [$2.5K to 1st],20648133,resolved,$1.00,$0.00,104.08,15943,28410,28410
9/25/2016,NFL,1406200,Yahoo Cup Week 3 [$1K Freeroll],20335540,resolved,$0.00,$0.00,110.60,59651,342392,1000000
9/25/2016,NFL,1403244,NFL $200K Baller [$20K to 1st],20515360,resolved,$10.00,$0.00,110.60,10258,20472,22728
9/25/2016,NFL,1403244,NFL $200K Baller [$20K to 1st],20515387,resolved,$10.00,$20.00,139.30,2564,20472,22728
9/25/2016,NFL,1403244,NFL $200K Baller [$20K to 1st],20616879,resolved,$10.00,$15.00,128.50,4740,20472,22728
9/25/2016,NFL,1403244,NFL $200K Baller [$20K to 1st],20616927,resolved,$10.00,$0.00,108.16,11125,20472,22728
9/25/2016,NFL,1403244,NFL $200K Baller [$20K to 1st],20616981,resolved,$10.00,$0.00,117.06,8033,20472,22728
9/25/2016,NFL,1403244,NFL $200K Baller [$20K to 1st],20617035,resolved,$10.00,$20.00,137.60,2839,20472,22728
9/25/2016,NFL,1403244,NFL $200K Baller [$20K to 1st],20617089,resolved,$10.00,$0.00,109.40,10695,20472,22728
9/25/2016,NFL,1403244,NFL $200K Baller [$20K to 1st],20617164,resolved,$10.00,$0.00,104.60,12451,20472,22728
9/25/2016,NFL,1403244,NFL $200K Baller [$20K to 1st],20617191,resolved,$10.00,$15.00,128.54,4730,20472,22728
9/25/2016,NFL,1403244,NFL $200K Baller [$20K to 1st],20617212,resolved,$10.00,$0.00,93.24,16004,20472,22728
9/25/2016,NFL,1403247,NFL $70K Tournament [$7K to 1st],20648053,resolved,$25.00,$50.00,145.44,326,2909,3182
9/29/2016,NFL,1422957,NFL $20K Tournament [$2K to 1st],21151383,resolved,$10.00,$0.00,112.74,1199,2273,2273
10/2/2016,NFL,1425657,Yahoo Cup Week 4 [$1K Freeroll],20953803,resolved,$0.00,$0.00,102.34,72437,361598,1000000
10/2/2016,NFL,1422948,NFL $200K Baller [$20K to 1st],20771782,resolved,$10.00,$0.00,91.42,16103,19002,22728
10/2/2016,NFL,1422948,NFL $200K Baller [$20K to 1st],20771925,resolved,$10.00,$0.00,93.68,15568,19002,22728
10/2/2016,NFL,1422948,NFL $200K Baller [$20K to 1st],20771942,resolved,$10.00,$0.00,97.50,14529,19002,22728
10/2/2016,NFL,1422948,NFL $200K Baller [$20K to 1st],20772020,resolved,$10.00,$0.00,90.82,16227,19002,22728
10/2/2016,NFL,1422948,NFL $200K Baller [$20K to 1st],21146103,resolved,$10.00,$0.00,95.28,15145,19002,22728
10/2/2016,NFL,1422948,NFL $200K Baller [$20K to 1st],21146199,resolved,$10.00,$0.00,94.24,15409,19002,22728
10/2/2016,NFL,1422948,NFL $200K Baller [$20K to 1st],21248849,resolved,$10.00,$0.00,96.18,14898,19002,22728
10/2/2016,NFL,1422948,NFL $200K Baller [$20K to 1st],21248915,resolved,$10.00,$0.00,102.48,12887,19002,22728
10/9/2016,NFL,1439064,Yahoo Cup Week 5 [$1K Freeroll],21554164,resolved,$0.00,$0.00,91.72,109492,388383,1000000
10/9/2016,NFL,1436859,NFL $175K Baller [$15K to 1st],21776443,resolved,$10.00,$25.00,150.70,1199,17679,19887
10/9/2016,NFL,1436859,NFL $175K Baller [$15K to 1st],21776782,resolved,$10.00,$0.00,125.12,6062,17679,19887
10/9/2016,NFL,1436859,NFL $175K Baller [$15K to 1st],21776879,resolved,$10.00,$0.00,124.42,6255,17679,19887
10/9/2016,NFL,1436859,NFL $175K Baller [$15K to 1st],21776916,resolved,$10.00,$0.00,91.72,15226,17679,19887
10/9/2016,NFL,1436859,NFL $175K Baller [$15K to 1st],22062641,resolved,$10.00,$0.00,121.02,7201,17679,19887
10/16/2016,NFL,1447827,NFL $175K Baller [$15K to 1st],22734504,resolved,$10.00,$0.00,91.70,13158,16470,19887
10/16/2016,NFL,1447827,NFL $175K Baller [$15K to 1st],22734790,resolved,$10.00,$25.00,142.20,1576,16470,19887
10/16/2016,NFL,1447827,NFL $175K Baller [$15K to 1st],22734852,resolved,$10.00,$0.00,90.60,13373,16470,19887
10/16/2016,NFL,1447827,NFL $175K Baller [$15K to 1st],22734978,resolved,$10.00,$15.00,125.30,4543,16470,19887
10/16/2016,NFL,1447827,NFL $175K Baller [$15K to 1st],22735034,resolved,$10.00,$0.00,110.50,8630,16470,19887
10/16/2016,NFL,1447827,NFL $175K Baller [$15K to 1st],22735163,resolved,$10.00,$17.00,132.50,3021,16470,19887
10/16/2016,NFL,1447827,NFL $175K Baller [$15K to 1st],22735257,resolved,$10.00,$0.00,97.06,12032,16470,19887
10/16/2016,NFL,1449849,NFL Yahoo Cup Week 6 [$1K Freeroll],22433413,resolved,$0.00,$0.00,91.70,86190,403100,1000000
10/23/2016,NFL,1460049,NFL $20K Tournament [$2K to 1st],23388622,resolved,$1.00,$0.00,120.32,7831,21728,22728
10/23/2016,NFL,1460049,NFL $20K Tournament [$2K to 1st],23388669,resolved,$1.00,$0.00,104.42,14565,21728,22728
10/23/2016,NFL,1460049,NFL $20K Tournament [$2K to 1st],23388706,resolved,$1.00,$0.00,114.58,10250,21728,22728
10/23/2016,NFL,1460049,NFL $20K Tournament [$2K to 1st],23388732,resolved,$1.00,$0.00,106.42,13752,21728,22728
10/23/2016,NFL,1460049,NFL $20K Tournament [$2K to 1st],23388759,resolved,$1.00,$2.00,131.32,3823,21728,22728
10/23/2016,NFL,1460049,NFL $20K Tournament [$2K to 1st],23388914,resolved,$1.00,$0.00,111.44,11648,21728,22728
10/23/2016,NFL,1460049,NFL $20K Tournament [$2K to 1st],23388930,resolved,$1.00,$0.00,113.38,10809,21728,22728
10/23/2016,NFL,1460049,NFL $20K Tournament [$2K to 1st],23389173,resolved,$1.00,$4.00,150.22,618,21728,22728
10/23/2016,NFL,1462793,NFL Yahoo Cup Week 7 [$1K Freeroll],23074037,resolved,$0.00,$0.00,127.52,23751,413679,1000000
10/23/2016,NFL,1460000,NFL $150K Baller [$15K to 1st],23366654,resolved,$10.00,$20.00,127.52,3894,15034,17046
10/23/2016,NFL,1460000,NFL $150K Baller [$15K to 1st],23366938,resolved,$10.00,$0.00,117.72,6574,15034,17046
10/23/2016,NFL,1460000,NFL $150K Baller [$15K to 1st],23366992,resolved,$10.00,$0.00,111.74,8430,15034,17046
10/23/2016,NFL,1460000,NFL $150K Baller [$15K to 1st],23367067,resolved,$10.00,$20.00,130.78,3102,15034,17046
10/23/2016,NFL,1460000,NFL $150K Baller [$15K to 1st],23367115,resolved,$10.00,$0.00,102.32,10975,15034,17046
10/23/2016,NFL,1460000,NFL $150K Baller [$15K to 1st],23367290,resolved,$10.00,$0.00,98.82,11835,15034,17046
10/23/2016,NFL,1460000,NFL $150K Baller [$15K to 1st],23388933,resolved,$10.00,$0.00,113.38,7921,15034,17046
10/23/2016,NFL,1460000,NFL $150K Baller [$15K to 1st],23389163,resolved,$10.00,$40.00,150.22,458,15034,17046
10/30/2016,NFL,1474068,NFL Yahoo Cup Week 8 [$1K Freeroll],23713181,resolved,$0.00,$0.00,130.00,8744,425798,1000000
10/30/2016,NFL,1471927,NFL $125K Baller [$10K to 1st],23941698,resolved,$10.00,$20.00,126.34,1728,13740,14205
10/30/2016,NFL,1471927,NFL $125K Baller [$10K to 1st],24027493,resolved,$10.00,$45.00,146.80,282,13740,14205
10/30/2016,NFL,1471927,NFL $125K Baller [$10K to 1st],24027950,resolved,$10.00,$15.00,118.60,3038,13740,14205
10/30/2016,NFL,1471927,NFL $125K Baller [$10K to 1st],24038781,resolved,$10.00,$0.00,80.48,12498,13740,14205
10/30/2016,NFL,1471927,NFL $125K Baller [$10K to 1st],24169773,resolved,$10.00,$45.00,149.00,202,13740,14205
10/30/2016,NFL,1471927,NFL $125K Baller [$10K to 1st],24170629,resolved,$10.00,$100.00,155.00,98,13740,14205
10/30/2016,NFL,1471927,NFL $125K Baller [$10K to 1st],24171148,resolved,$10.00,$0.00,113.00,4274,13740,14205
10/30/2016,NFL,1471927,NFL $125K Baller [$10K to 1st],24171753,resolved,$10.00,$15.00,117.18,3339,13740,14205
10/30/2016,NFL,1471927,NFL $125K Baller [$10K to 1st],24172059,resolved,$10.00,$30.00,134.40,894,13740,14205
10/30/2016,NFL,1471927,NFL $125K Baller [$10K to 1st],24172639,resolved,$10.00,$0.00,115.20,3765,13740,14205
11/6/2016,NFL,1501895,NFL $200 Tournament [Single Entry],24942714,resolved,$5.00,$30.00,151.48,2,46,46
11/6/2016,NFL,1487938,NFL $8K Tournament [Single Entry],24942170,resolved,$10.00,$400.00,159.68,3,909,909
11/6/2016,NFL,1487882,NFL $20K Tournament [$2K to 1st],24938408,resolved,$1.00,$6.00,155.88,157,22728,22728
11/6/2016,NFL,1487880,NFL $125K Baller [$10K to 1st],24780205,resolved,$10.00,$0.00,115.26,5539,13355,14205
11/6/2016,NFL,1487880,NFL $125K Baller [$10K to 1st],24780398,resolved,$10.00,$100.00,155.88,81,13355,14205
11/6/2016,NFL,1487880,NFL $125K Baller [$10K to 1st],24780448,resolved,$10.00,$45.00,149.18,245,13355,14205
11/6/2016,NFL,1487880,NFL $125K Baller [$10K to 1st],24780471,resolved,$10.00,$45.00,149.58,233,13355,14205
11/6/2016,NFL,1487880,NFL $125K Baller [$10K to 1st],24780505,resolved,$10.00,$0.00,102.92,8985,13355,14205
11/6/2016,NFL,1487880,NFL $125K Baller [$10K to 1st],24939152,resolved,$10.00,$30.00,138.88,944,13355,14205
11/6/2016,NFL,1487880,NFL $125K Baller [$10K to 1st],24939657,resolved,$10.00,$15.00,127.58,2542,13355,14205
11/6/2016,NFL,1487880,NFL $125K Baller [$10K to 1st],24940318,resolved,$10.00,$0.00,112.18,6380,13355,14205
11/6/2016,NFL,1487880,NFL $125K Baller [$10K to 1st],24940947,resolved,$10.00,$300.00,160.48,37,13355,14205
11/6/2016,NFL,1487880,NFL $125K Baller [$10K to 1st],24941362,resolved,$10.00,$0.00,117.88,4844,13355,14205
11/6/2016,NFL,1501943,NFL $200 Tournament [Single Entry],24943089,resolved,$10.00,$25.00,136.48,4,23,23
11/6/2016,NFL,1501745,NFL $1K Tournament [Single Entry],24938369,resolved,$10.00,$100.00,155.88,2,114,114
11/6/2016,NFL,1487934,NFL $15K Tournament [Single Entry],24941838,resolved,$5.00,$12.00,137.98,257,3410,3410
11/6/2016,NFL,1490236,NFL Yahoo Cup Week 9 [$1K Freeroll],24438272,resolved,$0.00,$0.00,150.88,1967,437845,1000000
11/13/2016,NFL,1515033,NFL $200 Tournament [Single Entry],25676803,resolved,$10.00,$0.00,122.64,12,23,23
11/13/2016,NFL,1503553,NFL $125K Baller [$10K to 1st],25640117,resolved,$10.00,$30.00,144.56,755,12061,14205
11/13/2016,NFL,1503553,NFL $125K Baller [$10K to 1st],25640238,resolved,$10.00,$35.00,149.74,449,12061,14205
11/13/2016,NFL,1503553,NFL $125K Baller [$10K to 1st],25640361,resolved,$10.00,$25.00,139.76,1122,12061,14205
11/13/2016,NFL,1503553,NFL $125K Baller [$10K to 1st],25640384,resolved,$10.00,$35.00,149.94,436,12061,14205
11/13/2016,NFL,1503553,NFL $125K Baller [$10K to 1st],25640502,resolved,$10.00,$12.50,123.04,3491,12061,14205
11/13/2016,NFL,1503553,NFL $125K Baller [$10K to 1st],25675416,resolved,$10.00,$20.00,131.94,2034,12061,14205
11/13/2016,NFL,1503553,NFL $125K Baller [$10K to 1st],25675455,resolved,$10.00,$35.00,152.76,308,12061,14205
11/13/2016,NFL,1503553,NFL $125K Baller [$10K to 1st],25676150,resolved,$10.00,$20.00,134.54,1700,12061,14205
11/13/2016,NFL,1503553,NFL $125K Baller [$10K to 1st],25676583,resolved,$10.00,$25.00,140.04,1100,12061,14205
11/13/2016,NFL,1503553,NFL $125K Baller [$10K to 1st],25676651,resolved,$10.00,$0.00,122.74,3561,12061,14205
11/13/2016,NFL,1503604,NFL $8K Tournament [Single Entry],25675533,resolved,$10.00,$25.00,140.76,84,878,909
11/13/2016,NFL,1503603,NFL $15K Tournament [Single Entry],25640466,resolved,$5.00,$10.00,129.64,522,3033,3410
11/13/2016,NFL,1503352,NFL $1K Tournament [Single Entry],25675587,resolved,$10.00,$140.00,178.34,1,114,114
11/13/2016,NFL,1507752,NFL Yahoo Cup Week 10 [$1K Freeroll],25246073,resolved,$0.00,$0.00,131.94,13896,445485,1000000
11/17/2016,NFL,1518687,NFL $9K Tournament [$1K to 1st],26334461,resolved,$25.00,$90.00,141.18,12,398,409
11/17/2016,NFL,1518687,NFL $9K Tournament [$1K to 1st],26334684,resolved,$25.00,$90.00,138.88,13,398,409
11/17/2016,NFL,1518687,NFL $9K Tournament [$1K to 1st],26334794,resolved,$25.00,$70.00,132.04,30,398,409
11/17/2016,NFL,1518687,NFL $9K Tournament [$1K to 1st],26334902,resolved,$25.00,$65.00,131.44,33,398,409
11/17/2016,NFL,1518684,NFL $12K Tournament [$1K to 1st],26334229,resolved,$10.00,$20.00,120.98,242,1364,1364
11/17/2016,NFL,1518684,NFL $12K Tournament [$1K to 1st],26334442,resolved,$10.00,$50.00,141.18,37,1364,1364
11/17/2016,NFL,1518684,NFL $12K Tournament [$1K to 1st],26334558,resolved,$10.00,$40.00,136.98,61,1364,1364
11/17/2016,NFL,1518684,NFL $12K Tournament [$1K to 1st],26334947,resolved,$10.00,$55.00,147.44,22,1364,1364
11/17/2016,NFL,1518684,NFL $12K Tournament [$1K to 1st],26335065,resolved,$10.00,$0.00,106.08,569,1364,1364
11/17/2016,NFL,1518684,NFL $12K Tournament [$1K to 1st],26335163,resolved,$10.00,$75.00,153.84,11,1364,1364
11/17/2016,NFL,1518684,NFL $12K Tournament [$1K to 1st],26335288,resolved,$10.00,$1000.00,171.64,1,1364,1364
11/17/2016,NFL,1518684,NFL $12K Tournament [$1K to 1st],26335429,resolved,$10.00,$300.00,164.50,4,1364,1364
11/17/2016,NFL,1518684,NFL $12K Tournament [$1K to 1st],26335463,resolved,$10.00,$65.00,151.44,17,1364,1364
11/17/2016,NFL,1518684,NFL $12K Tournament [$1K to 1st],26335531,resolved,$10.00,$40.00,136.88,64,1364,1364
11/20/2016,NFL,1518675,NFL $25K Tournament [$2.5K to 1st],26458037,resolved,$25.00,$85.00,145.44,41,1137,1137
11/20/2016,NFL,1518675,NFL $25K Tournament [$2.5K to 1st],26458068,resolved,$25.00,$500.00,159.84,6,1137,1137
11/20/2016,NFL,1518675,NFL $25K Tournament [$2.5K to 1st],26458118,resolved,$25.00,$150.00,150.08,28,1137,1137
11/20/2016,NFL,1518675,NFL $25K Tournament [$2.5K to 1st],26458142,resolved,$25.00,$40.00,125.68,253,1137,1137
11/20/2016,NFL,1518675,NFL $25K Tournament [$2.5K to 1st],26458157,resolved,$25.00,$1250.00,165.58,2,1137,1137
11/20/2016,NFL,1518675,NFL $25K Tournament [$2.5K to 1st],26458310,resolved,$25.00,$0.00,123.08,295,1137,1137
11/20/2016,NFL,1518675,NFL $25K Tournament [$2.5K to 1st],26458334,resolved,$25.00,$40.00,124.98,263,1137,1137
11/20/2016,NFL,1518675,NFL $25K Tournament [$2.5K to 1st],26458344,resolved,$25.00,$40.00,125.66,254,1137,1137
11/20/2016,NFL,1518675,NFL $25K Tournament [$2.5K to 1st],26458357,resolved,$25.00,$500.00,156.58,9,1137,1137
11/20/2016,NFL,1518675,NFL $25K Tournament [$2.5K to 1st],26458453,resolved,$25.00,$0.00,111.38,553,1137,1137
11/20/2016,NFL,1518673,NFL $110K Baller [$10K to 1st],26457825,resolved,$10.00,$0.00,89.48,10066,12184,12500
11/20/2016,NFL,1518673,NFL $110K Baller [$10K to 1st],26457893,resolved,$10.00,$100.00,158.24,52,12184,12500
11/20/2016,NFL,1518673,NFL $110K Baller [$10K to 1st],26457963,resolved,$10.00,$35.00,142.04,519,12184,12500
11/20/2016,NFL,1518673,NFL $110K Baller [$10K to 1st],26458093,resolved,$10.00,$45.00,149.04,229,12184,12500
11/20/2016,NFL,1518673,NFL $110K Baller [$10K to 1st],26458189,resolved,$10.00,$45.00,147.98,271,12184,12500
11/20/2016,NFL,1518673,NFL $110K Baller [$10K to 1st],26458209,resolved,$10.00,$20.00,126.98,1910,12184,12500
11/20/2016,NFL,1518673,NFL $110K Baller [$10K to 1st],26458229,resolved,$10.00,$33.33,138.18,747,12184,12500
11/20/2016,NFL,1518673,NFL $110K Baller [$10K to 1st],26458250,resolved,$10.00,$35.00,139.88,636,12184,12500
11/20/2016,NFL,1518673,NFL $110K Baller [$10K to 1st],26458263,resolved,$10.00,$45.00,147.86,274,12184,12500
11/20/2016,NFL,1518673,NFL $110K Baller [$10K to 1st],26458287,resolved,$10.00,$25.00,132.08,1299,12184,12500
11/20/2016,NFL,1518729,NFL $7K Tournament [Single Entry],26458424,resolved,$10.00,$200.00,159.16,3,800,800
11/20/2016,NFL,1521066,NFL Yahoo Cup Week 11 [$1K Freeroll],25989999,resolved,$0.00,$0.00,136.98,5561,452822,1000000
